country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,fuel1,fuel2,fuel3,fuel4,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
ESP,Spain,ABONO 2,WRI1006157,877.6600000000001,43.5528,-5.7231,Coal,,,,1985.0,HIDROELECTRICA DEL CANTABRICO  S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,GEODB,,,,,,4526.039693464082
ESP,Spain,ACECA  GRUPO 4,WRI1006159,758.74,39.9427,-3.8548,Gas,,,,2006.0,GAS NATURAL FENOSA GENERACION  S.L.U.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,GEODB,,,,,,1371.1425733196775
ESP,Spain,ADS JUNEDA 2,WRI1006161,15.0,41.5485,0.8245,Waste,,,,2004.0,VALORITZACIONS AGRORAMADERES LES GARRIGUES  S.L.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,53.03385611280903
ESP,Spain,AGREDA,WRI1006162,18.0,41.8559,-1.9224,Wind,,,,2013.0,PARQUE EOLICO SIERRA DEL MADERO  S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,83.05189090986504
ESP,Spain,AGREDA,WRI1006163,16334,41.8559,-1.9224,Waste,,,,2000.0,INTEVER  S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,57.750333716441524
ESP,Spain,AGROENERGETICA DE BAENA,WRI1006165,20.0,37.6167,-4.3225,Biomass,,,,,AGROENERGETICA DE BAENA  S.L.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,4728.0
ESP,Spain,AGUAYO 3,WRI1006167,360.59999999999997,43.0952,-4.0004,Hydro,,,,1983.0,VIESGO GENERACION  S.L.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,WRI,,,,,,989.5170461512049
ESP,Spain,ALBARELLOS GRUPO 1,WRI1006170,67.6,42.4333,-8.1443,Hydro,,,,1973.0,GAS NATURAL FENOSA GENERACION  S.L.U.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,185.500145091019
ESP,Spain,ALCUDIA 1  GRUPO N 1,WRI1006172,533.8,39.8106,3.0913,Coal,Oil,,,1981.0,GAS Y ELECTRICIDAD GENERACION  S.A.U,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,2752.774409647388
ESP,Spain,ALDEADAVILA II 2,WRI1006178,1226.43,41.2117,-6.6856,Hydro,,,,1986.0,IBERDROLA GENERACION  S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,GEODB,,,,,,3365.428150058853
ESP,Spain,ALENTISQUE,WRI1006179,46.5,41.4206,-2.3319,Wind,,,,2007.0,PARQUES EOLICOS ALENTISQUE  S.L.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,214.55071818381802
ESP,Spain,ALTO DE LA SIERRA,WRI1006185,11.05,41.5406,-1.7166,Wind,,,,,IBERDROLA ENERGIAS RENOVABLES  S.A.U.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,50.984633030778255
ESP,Spain,AMOREBIETA,WRI1006189,786.42,43.2347,-2.7497,Gas,,,,2005.0,BIZKAIA ENERGIA  S.L.U.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,GEODB,,,,,,1421.1639593405655
ESP,Spain,AMPLIACION DEL PICAL,WRI1006191,11.05,42.9362,-4.3083,Wind,,,,,CORPORACION EOLICA DE BARRUELO,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,50.984633030778255
ESP,Spain,AMPLIACION PADORNELO,WRI1006192,18.0,42.0357,-6.9054,Wind,,,,2009.0,IBEREOLICA HEDROSO-ACIBEROS 2  S.L.U.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,83.05189090986504
ESP,Spain,AMPLIACION SIERRA DEL CORTADO,WRI1006193,13.5,41.7389,-2.1697,Wind,,,,2013.0,PARQUE EOLICO SIERRA DEL MADERO  S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,62.288918182398774
ESP,Spain,ANDASOL-3,WRI1006195,149.7,37.2281,-3.0511,Solar,,,,2011.0,MARQUESADO SOLAR  S.L.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,GEODB,,,,,,1006.9042750120151
ESP,Spain,ANLLARES GR 1,WRI1006197,346.84,42.8385,-6.5332,Coal,,,,1982.0,GAS NATURAL FENOSA GENERACION  S.L.U.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,GEODB,,,,,,1788.6329641103412
ESP,Spain,ARBON 2,WRI1006201,56.040000000000006,43.4486,-6.7053,Hydro,,,,1968.0,VIESGO GENERACION  S.L.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,153.77852264646017
ESP,Spain,ARCOS DE LA FRONTERA GRUPO 1,WRI1006203,1585.3899999999999,36.6721,-5.8164,Gas,,,,2005.0,IBERDROLA GENERACION  S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,GEODB,,,,,,2865.00741270433
ESP,Spain,ARONA 1  GAS 1,WRI1006207,43.2,28.0996,-16.6810,Oil,,,,2003.0,UNION ELECTRICA DE CANARIAS GENERACION  S.A.U.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,130.7199929028638
ESP,Spain,ARRUBAL GRUPO 1,WRI1006210,784.7,42.4194,-2.2511,Gas,,,,2005.0,CONTOUR GLOBAL LA RIOJA  S.L.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,GEODB,,,,,,1418.0556940242388
ESP,Spain,ARTIES 1,WRI1006212,67.52,41.7980,1.9543,Hydro,,,,1955.0,ENDESA GENERACION S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,185.28061829209474
ESP,Spain,ASCO GR,WRI1006213,1990.5,41.2008,0.5679,Nuclear,,,,1983.0,ENDESA GENERACION S.A.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,GEODB,,,,,,16020.314786673147
ESP,Spain,ASTE 1A,WRI1006214,99.8,39.1710,-3.2666,Solar,,,,2012.0,ARIES SOLAR TERMOELECTRICA  S.L.,Red El�ctrica de Espa�a,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,GEODB,,,,,,671.2695166746768
